wsd_source_id,park_unit,water_system_name,match_source,match_name,search_term,longitude,latitude,Coordinate_System,source_location_refs,confidence
BICY_WS_005_01,BICY,"CC - Cooks Camp ,Water Dist. System",NPS Buildings,"SC - Scissor Camp, Bldg. A107",Camp,-81.29053418278792,26.219155922117704,WGS 84,"Buildings, SC - Scissor Camp, Bldg. A107",NA
BICY_WS_005_01,BICY,"CC - Cooks Camp ,Water Dist. System",NPS POIs,Burns Lake,Camp,-81.22958657469209,25.892163248027103,WGS 84,"POIs, Burns Lake",NA
BICY_WS_005_01,BICY,"CC - Cooks Camp ,Water Dist. System",NPS POIs,Burns Lake,Camp,-81.22976967477055,25.893118848263605,WGS 84,"POIs, Burns Lake",NA
BICY_WS_005_01,BICY,"CC - Cooks Camp ,Water Dist. System",NPS POIs,Michelle Landing,Camp,-80.9266918751235,25.758843347922546,WGS 84,"POIs, Michelle Landing",NA
BICY_WS_017_01,BICY,OA - Q10 Water Distribution System,NONE,NA,Q10,NA,NA,NA,U,NA
BICY_WS_020_01,BICY,OH - Ochopee Well System,NPS Buildings,OH - Ochopee  Vehicle Wash Station Bldg. A113,Ochopee,-81.32326043927553,25.897564187154675,WGS 84,"Buildings, OH - Ochopee  Vehicle Wash Station Bldg. A113",NA
BICY_WS_020_01,BICY,OH - Ochopee Well System,NPS POIs,Ochopee,Ochopee,-81.29654977532745,25.899258548362774,WGS 84,"POIs, Ochopee",NA
BICY_WS_020_01,BICY,OH - Ochopee Well System,NPS POIs,Ochopee Ranger Station Parking,Ochopee,-81.32519608060262,25.897678069345034,WGS 84,"POIs, Ochopee Ranger Station Parking",NA
BLRI_WS_023_01,BLRI,MONT MP 16.1 W3 Love Maint-Well,NPS Buildings,MONT MP 29.0 B170 Office (former Residence) - Montebello Maint,MONT,-79.14774745378129,37.87051484002336,WGS 84,"Buildings, MONT MP 29.0 B170 Office (former Residence) - Montebello Maint",NA
BLRI_WS_023_01,BLRI,MONT MP 16.1 W3 Love Maint-Well,NPS Buildings,MONT MP 36.4 Unknown Building,MONT,-79.1474018850634,37.85259244278226,WGS 84,"Buildings, MONT MP 36.4 Unknown Building",NA
BLRI_WS_023_01,BLRI,MONT MP 16.1 W3 Love Maint-Well,NPS Buildings,MONT MP 5.9 B356 Bearproof Pig Pen-Humpback Rocks,MONT,-78.89879132890432,37.970618023626436,WGS 84,"Buildings, MONT MP 5.9 B356 Bearproof Pig Pen-Humpback Rocks",NA
BLRI_WS_023_01,BLRI,MONT MP 16.1 W3 Love Maint-Well,NPS POIs,Montvale Overlook,MONT,-79.73442127165805,37.4410449445141,WGS 84,"POIs, Montvale Overlook",NA
BLRI_WS_023_01,BLRI,MONT MP 16.1 W3 Love Maint-Well,NPS POIs,Peidmont Overlook,MONT,-80.74511727207395,36.62733304568288,WGS 84,"POIs, Peidmont Overlook",NA
BLRI_WS_023_01,BLRI,MONT MP 16.1 W3 Love Maint-Well,NPS POIs,Montebello Office,MONT,-79.14830847123535,37.86923734469593,WGS 84,"POIs, Montebello Office",NA
BLRI_WS_023_01,BLRI,MONT MP 16.1 W3 Love Maint-Well,NPS Buildings,MONT MP 16.1 B365 Maintenance Bldg - Love Maint,16.1,-79.00712027631675,37.88657309803676,WGS 84,"Buildings, MONT MP 16.1 B365 Maintenance Bldg - Love Maint",NA
BLRI_WS_023_01,BLRI,MONT MP 16.1 W3 Love Maint-Well,NPS Buildings,MONT MP 16.0 Q 00000411 B411 Residence - Love Maint,Love,-79.00766936830487,37.88583200582054,WGS 84,"Buildings, MONT MP 16.0 Q 00000411 B411 Residence - Love Maint",NA
BLRI_WS_023_01,BLRI,MONT MP 16.1 W3 Love Maint-Well,NPS Buildings,MONT MP 16.0 Q 00000404 B404 Residence - Love Maint,Love,-79.00803644578228,37.88555262068802,WGS 84,"Buildings, MONT MP 16.0 Q 00000404 B404 Residence - Love Maint",NA
BLRI_WS_023_01,BLRI,MONT MP 16.1 W3 Love Maint-Well,NPS Buildings,MONT MP 16.1 B365 Maintenance Bldg - Love Maint,Love,-79.00712027631675,37.88657309803676,WGS 84,"Buildings, MONT MP 16.1 B365 Maintenance Bldg - Love Maint",NA
BLRI_WS_023_01,BLRI,MONT MP 16.1 W3 Love Maint-Well,NPS POIs,Love Residence Parking,Love,-79.00779100027661,37.885669000456446,WGS 84,"POIs, Love Residence Parking",NA
CALO_WS_003_01,CALO,Coast Guard Water System,NPS Buildings,ATV Shed at Cape Coast Guard Dock,Coast Guard,-76.53763229534087,34.61306259133656,WGS 84,"Buildings, ATV Shed at Cape Coast Guard Dock",NA
CALO_WS_003_01,CALO,Coast Guard Water System,NPS Buildings,Cape Lookout Coast Guard Station Equipment Building,Coast Guard,-76.53848820889708,34.60314886281038,WGS 84,"Buildings, Cape Lookout Coast Guard Station Equipment Building",NA
CALO_WS_003_01,CALO,Coast Guard Water System,NPS Buildings,Summer Kitchen Cistern at Cape Coast Guard Station,Coast Guard,-76.53792546092163,34.60311024131355,WGS 84,"Buildings, Summer Kitchen Cistern at Cape Coast Guard Station",NA
CALO_WS_003_01,CALO,Coast Guard Water System,NPS Buildings,ATV Shed at Cape Coast Guard Dock,Coast,-76.53763229534087,34.61306259133656,WGS 84,"Buildings, ATV Shed at Cape Coast Guard Dock",NA
CALO_WS_003_01,CALO,Coast Guard Water System,NPS Buildings,Cape Lookout Coast Guard Station Equipment Building,Coast,-76.53848820889708,34.60314886281038,WGS 84,"Buildings, Cape Lookout Coast Guard Station Equipment Building",NA
CALO_WS_003_01,CALO,Coast Guard Water System,NPS Buildings,Summer Kitchen Cistern at Cape Coast Guard Station,Coast,-76.53792546092163,34.60311024131355,WGS 84,"Buildings, Summer Kitchen Cistern at Cape Coast Guard Station",NA
CALO_WS_003_01,CALO,Coast Guard Water System,NPS Buildings,ATV Shed at Cape Coast Guard Dock,Guard,-76.53763229534087,34.61306259133656,WGS 84,"Buildings, ATV Shed at Cape Coast Guard Dock",NA
CALO_WS_003_01,CALO,Coast Guard Water System,NPS Buildings,Cape Lookout Coast Guard Station Equipment Building,Guard,-76.53848820889708,34.60314886281038,WGS 84,"Buildings, Cape Lookout Coast Guard Station Equipment Building",NA
CALO_WS_003_01,CALO,Coast Guard Water System,NPS Buildings,Summer Kitchen Cistern at Cape Coast Guard Station,Guard,-76.53792546092163,34.60311024131355,WGS 84,"Buildings, Summer Kitchen Cistern at Cape Coast Guard Station",NA
CALO_WS_003_01,CALO,Coast Guard Water System,NPS Buildings,ATV Shed at Cape Coast Guard Dock,Cape,-76.53763229534087,34.61306259133656,WGS 84,"Buildings, ATV Shed at Cape Coast Guard Dock",NA
CALO_WS_003_01,CALO,Coast Guard Water System,NPS Buildings,"Lewis/Davis House, Cape Lookout Village",Cape,-76.53819087303577,34.60414491147742,WGS 84,"Buildings, Lewis/Davis House, Cape Lookout Village",NA
CALO_WS_003_01,CALO,Coast Guard Water System,NPS Buildings,Cape Lookout Coast Guard Station Equipment Building,Cape,-76.53848820889708,34.60314886281038,WGS 84,"Buildings, Cape Lookout Coast Guard Station Equipment Building",NA
CALO_WS_003_01,CALO,Coast Guard Water System,NPS POIs,Cape Lookout Lighthouse,Cape,-76.52452357155632,34.622739845030445,WGS 84,"POIs, Cape Lookout Lighthouse",NA
